,id,created_at,username,text
49,1549820539644133377,Wed Jul 20 18:16:25 +0000 2022,sensei_day,me watching someone else take credit for my joke that no one at
50,1549820537102278657,Wed Jul 20 18:16:24 +0000 2022,BONOLTJIES,gangster and in the same sentence like a joke go
51,1549820534266875910,Wed Jul 20 18:16:24 +0000 2022,goldenddenise,the from baker all the way to was no joke
52,1549820526318817284,Wed Jul 20 18:16:22 +0000 2022,beecoolsis,_ cute _ it was a joke thanks
53,1549820525127532545,Wed Jul 20 18:16:22 +0000 2022,tamara7958,i guess the rising are not the rich what a joke
54,1549820524250931202,Wed Jul 20 18:16:21 +0000 2022,ray_rod20,yeah different like be a serious movie n not make everything a joke a musical is stupid
55,1549820521533132800,Wed Jul 20 18:16:21 +0000 2022,blessinhearts71,the number of smooth brains totally missing the joke me sad that we don t require an intelligence test to vote drive tweet breathe air
56,1549820511059906560,Wed Jul 20 18:16:18 +0000 2022,ashley_stallion,i wish that was actually a joke it is a thing they really do have meat
57,1549820510338416641,Wed Jul 20 18:16:18 +0000 2022,NBAOldGal,i will never understand how public walk away from they should have to respond to every question thrown their way what a joke
58,1549820508899889153,Wed Jul 20 18:16:18 +0000 2022,DarkToonLink_,stray is actually a lot of fun i understand it s not everyone s type of game but it me to talk and joke with you a lot more need more like that
59,1549820508413329410,Wed Jul 20 18:16:18 +0000 2022,cea_forster,you re being ridiculous see i m still here unbelievable i joke about the c word but i really hate thinking about it before
60,1549820505905061888,Wed Jul 20 18:16:17 +0000 2022,Letopete1017,will never ever take on amber turd twice no way not as her client he can not afford her he is a joke n there is far too much evidence proof of being a person to ever give him sole custody of poor prince he to do anything to change for him
61,1549820505359777796,Wed Jul 20 18:16:17 +0000 2022,KevHollandProp,__yvs__ he is a tate and he a whole beef with d'angelo and made fun of his for getting covid all because d'angelo said he was for the streets as a joke
62,1549820503787012101,Wed Jul 20 18:16:17 +0000 2022,alispursfan,sol joke
63,1549820503744864263,Wed Jul 20 18:16:17 +0000 2022,new_vikhoratana,what we need is not this what we need is that you apologize and do not bother them because the way there is a joke is not funny at all which is not the type of joke but it is hard to fall within the scope of sexual harassment good name and artist privacy _zpoimy
64,1549820501597487107,Wed Jul 20 18:16:16 +0000 2022,LewisMichaelR,what a total piece of fiction t even when the dome over ago i been twice this year they re a damn coke is whoever wrote this fish wrap article should be relieved of his what a joke
65,1549820501350002689,Wed Jul 20 18:16:16 +0000 2022,posistress,getting back into destiny as a joke to test out the new i built for myself as a birthday treat
66,1549820491317350403,Wed Jul 20 18:16:14 +0000 2022,pdubsuw,joke dude should get a minimum one year ban
67,1549820488226160642,Wed Jul 20 18:16:13 +0000 2022,ThisIsChika_v2,this country is such a joke man
68,1549820487072526336,Wed Jul 20 18:16:13 +0000 2022,BlackbirdRoadW,chill out people can enjoy a genuinely harmless joke without of context speaking as a person to a person you are not making any progress with this reaction
69,1549820485050957825,Wed Jul 20 18:16:12 +0000 2022,Wynne92,i thought that was a joke
70,1549820483037605889,Wed Jul 20 18:16:12 +0000 2022,xxvmsg,being seen in public is actually my joke been to make seeing them somewhere stupid
71,1549820482848886784,Wed Jul 20 18:16:12 +0000 2022,yamikemy,no better to learn my lesson in a bear market at this point it is an ongoing joke i have to wait until to see if there is anything left of my investment people are still getting by their side yeah i lost with luna also
72,1549820482165293057,Wed Jul 20 18:16:11 +0000 2022,martinchioma,how about the distinguished we joke too much in this country
73,1549820481171329024,Wed Jul 20 18:16:11 +0000 2022,JorgeASOficial,its a joke
74,1549820480596721665,Wed Jul 20 18:16:11 +0000 2022,Chigo_07,this country na joke
75,1549820478130253826,Wed Jul 20 18:16:10 +0000 2022,souza_tweets,what a joke of a game
76,1549820477379678209,Wed Jul 20 18:16:10 +0000 2022,2ndSuccessor,no its so helpful i love knowing more and you explain nicely it doesnt feel like i am being also because of course i always do so wonderful this is a joke i am completely whenever i play
77,1549820476750319616,Wed Jul 20 18:16:10 +0000 2022,JoshuaValenzo,listen that s a good joke a great joke even
78,1549820475047497729,Wed Jul 20 18:16:10 +0000 2022,KIngPylon,why other than covid it is the biggest joke being on the public
